Ranking,Team,Acronym,Score,Flag
1,Spain,ESP,1877.18,🇪🇸
2,Argentina,ARG,1873.33,🇦🇷
3,France,FRA,1870.00,🇫🇷
4,England,ENG,1834.12,🏴󠁧󠁢󠁥󠁮󠁧󠁿
5,Brazil,BRA,1760.46,🇧🇷
6,Portugal,POR,1760.38,🇵🇹
7,Netherlands,NED,1756.27,🇳🇱
8,Morocco,MAR,1736.57,🇲🇦
9,Belgium,BEL,1730.71,🇧🇪
10,Germany,GER,1724.15,🇩🇪
11,Croatia,CRO,1716.88,🇭🇷
12,Senegal,SEN,1706.83,🇸🇳
13,Italy,ITA,1702.06,🇮🇹
14,Colombia,COL,1701.30,🇨🇴
15,USA,USA,1681.88,🇺🇸
16,Mexico,MEX,1675.75,🇲🇽
17,Uruguay,URU,1672.62,🇺🇾
18,Switzerland,SUI,1654.69,🇨🇭
19,Japan,JPN,1650.12,🇯🇵
20,IR Iran,IRN,1617.02,🇮🇷
21,Denmark,DEN,1616.75,🇩🇰
22,Korea Republic,KOR,1599.45,🇰🇷
23,Ecuador,ECU,1591.73,🇪🇨
24,Austria,AUT,1585.51,🇦🇹
25,Türkiye,TUR,1582.69,🇹🇷
26,Nigeria,NGA,1581.55,🇳🇬
27,Australia,AUS,1574.01,🇦🇺
28,Algeria,ALG,1560.91,🇩🇿
29,Canada,CAN,1559.15,🇨🇦
30,Ukraine,UKR,1557.47,🇺🇦
31,Egypt,EGY,1556.71,🇪🇬
32,Norway,NOR,1553.14,🇳🇴
33,Panama,PAN,1539.47,🇵🇦
34,Poland,POL,1532.04,🇵🇱
35,Wales,WAL,1529.71,🏴󠁧󠁢󠁷󠁬󠁳󠁿
36,Russia,RUS,1524.52,🇷🇺
37,Côte d'Ivoire,CIV,1522.48,🇨🇮
38,Scotland,SCO,1506.77,🏴󠁧󠁢󠁳󠁣󠁴󠁿
39,Serbia,SRB,1506.34,🇷🇸
40,Paraguay,PAR,1501.50,🇵🇾
41,Hungary,HUN,1496.29,🇭🇺
42,Sweden,SWE,1487.13,🇸🇪
43,Czechia,CZE,1487.00,🇨🇿
44,Slovakia,SVK,1485.65,🇸🇰
45,Cameroon,CMR,1482.39,🇨🇲
46,Greece,GRE,1480.38,🇬🇷
47,Tunisia,TUN,1479.04,🇹🇳
48,Congo DR,COD,1468.22,🇨🇩
49,Romania,ROU,1465.78,🇷🇴
50,Venezuela,VEN,1465.22,🇻🇪
51,Costa Rica,CRC,1464.24,🇨🇷
52,Uzbekistan,UZB,1462.03,🇺🇿
53,Peru,PER,1459.57,🇵🇪
54,Mali,MLI,1458.48,🇲🇱
55,Chile,CHI,1457.84,🇨🇱
56,Qatar,QAT,1454.96,🇶🇦
57,Slovenia,SVN,1447.31,🇸🇮
58,Iraq,IRQ,1436.94,🇮🇶
59,Republic of Ireland,IRL,1436.04,🇮🇪
60,South Africa,RSA,1432.76,🇿🇦
61,Saudi Arabia,KSA,1429.48,🇸🇦
62,Burkina Faso,BFA,1412.79,🇧🇫
63,Albania,ALB,1401.07,🇦🇱
64,Jordan,JOR,1388.93,🇯🇴
65,Honduras,HON,1379.54,🇭🇳
66,North Macedonia,MKD,1378.57,🇲🇰
67,Cabo Verde,CPV,1370.49,🇨🇻
68,United Arab Emirates,UAE,1370.47,🇦🇪
69,Northern Ireland,NIR,1366.02,🏴󠁿󠁢󠁮󠁩󠁿
70,Jamaica,JAM,1362.46,🇯🇲
71,Bosnia and Herzegovina,BIH,1362.37,🇧🇦
72,Ghana,GHA,1351.09,🇬🇭
73,Georgia,GEO,1347.88,🇬🇪
74,Iceland,ISL,1344.72,🇮🇸
75,Finland,FIN,1341.81,🇫🇮
76,Bolivia,BOL,1330.52,🇧🇴
77,Israel,ISR,1328.14,🇮🇱
78,Oman,OMA,1313.46,🇴🇲
79,Kosovo,KOS,1308.84,🇽🇰
80,Guinea,GUI,1307.05,🇬🇳
81,Curaçao,CUW,1302.70,🇨🇼
82,Montenegro,MNE,1297.09,🇲🇪
83,Haiti,HAI,1294.49,🇭🇹
84,Syria,SYR,1282.62,🇸🇾
85,New Zealand,NZL,1279.25,🇳🇿
86,Gabon,GAB,1276.28,🇬🇦
87,Bulgaria,BUL,1272.19,🇧🇬
88,Uganda,UGA,1264.09,🇺🇬
89,Angola,ANG,1263.10,🇦🇴
90,Bahrain,BHR,1258.53,🇧🇭
91,Zambia,ZAM,1256.68,🇿🇲
92,Benin,BEN,1250.05,🇧🇯
93,China PR,CHN,1249.06,🇨🇳
94,Guatemala,GUA,1245.77,🇬🇹
95,Palestine,PLE,1244.73,🇵🇸
96,Thailand,THA,1243.27,🇹🇭
97,Trinidad and Tobago,TRI,1227.32,🇹🇹
98,Belarus,BLR,1227.09,🇧🇾
